slug,codes,parameter,operator
bmi-25-dx,Z6825,icd_diagnoses,included
bmi-25-dx,Z6826,icd_diagnoses,included
bmi-25-dx,Z6827,icd_diagnoses,included
bmi-25-dx,Z6828,icd_diagnoses,included
bmi-25-dx,Z6829,icd_diagnoses,included
bmi-25-dx,Z683,icd_diagnoses,included
bmi-25-dx,Z6830,icd_diagnoses,included
bmi-25-dx,Z6831,icd_diagnoses,included
bmi-25-dx,Z6832,icd_diagnoses,included
bmi-25-dx,Z6833,icd_diagnoses,included
bmi-25-dx,Z6834,icd_diagnoses,included
bmi-25-dx,Z6835,icd_diagnoses,included
bmi-25-dx,Z6836,icd_diagnoses,included
bmi-25-dx,Z6837,icd_diagnoses,included
bmi-25-dx,Z6838,icd_diagnoses,included
bmi-25-dx,Z6839,icd_diagnoses,included
bmi-25-dx,Z684,icd_diagnoses,included
bmi-25-dx,Z6841,icd_diagnoses,included
bmi-25-dx,Z6842,icd_diagnoses,included
bmi-25-dx,Z6843,icd_diagnoses,included
bmi-25-dx,Z6844,icd_diagnoses,included
bmi-25-dx,Z6845,icd_diagnoses,included
bmi-25-vitals-or-dx,bmi-25-vitals,condition_slugs,included
bmi-25-vitals-or-dx,bmi-25-dx,condition_slugs,included
bmi-35-and-diabetes-hcc,bmi-35,condition_slugs,included
bmi-35-and-diabetes-hcc,diabetes-hcc,condition_slugs,included
bmi-40-not-diabetes-hcc,bmi-40,condition_slugs,included
bmi-40-not-diabetes-hcc,diabetes-hcc,test_slugs,included
cad-cvd-ever,coronary-artery-disease-ever,condition_slugs,included
cad-cvd-ever,cvd-hcc-ever,condition_slugs,included
cancer,C50%,icd_diagnoses,included
cancer,D05%,icd_diagnoses,included
cancer,Z853,icd_diagnoses,included
cancer,C18%,icd_diagnoses,included
cancer,C19,icd_diagnoses,included
cancer,C20,icd_diagnoses,included
cancer,D010,icd_diagnoses,included
cancer,D011,icd_diagnoses,included
cancer,D012,icd_diagnoses,included
cancer,Z85038,icd_diagnoses,included
cancer,Z85040,icd_diagnoses,included
cancer,Z85048,icd_diagnoses,included
cancer,C61,icd_diagnoses,included
cancer,D075,icd_diagnoses,included
cancer,Z8546,icd_diagnoses,included
cancer,C34%,icd_diagnoses,included
cancer,D0220,icd_diagnoses,included
cancer,D0221,icd_diagnoses,included
cancer,D0222,icd_diagnoses,included
cancer,Z85110,icd_diagnoses,included
cancer,Z85118,icd_diagnoses,included
cancer,C54%,icd_diagnoses,included
cancer,D070,icd_diagnoses,included
cancer,Z8542,icd_diagnoses,included
cancer,C81%,icd_diagnoses,included
cancer,C82%,icd_diagnoses,included
cancer,C83%,icd_diagnoses,included
cancer,C84%,icd_diagnoses,included
cancer,C85%,icd_diagnoses,included
cancer,C86%,icd_diagnoses,included
cancer,C884,icd_diagnoses,included
cancer,C90%,icd_diagnoses,included
cancer,C91%,icd_diagnoses,included
cancer,C92%,icd_diagnoses,included
cancer,C93%,icd_diagnoses,included
cancer,C94%,icd_diagnoses,included
cancer,C95%,icd_diagnoses,included
cancer,C96%,icd_diagnoses,included
cancer,D45,icd_diagnoses,included
cancer,Z85231,icd_diagnoses,included
cancer,Z856,icd_diagnoses,included
cancer,Z8571,icd_diagnoses,included
cancer,Z8579,icd_diagnoses,included
cancer-hcc-two-year,8,hccs,included
cancer-hcc-two-year,9,hccs,included
cancer-hcc-two-year,10,hccs,included
cancer-hcc-two-year,11,hccs,included
cancer-hcc-two-year,12,hccs,included
cannabis-dependence-not-in-remission,F1220,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1222,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1223,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1224,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1225,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1226,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1227,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1228,icd_diagnoses,included
cannabis-dependence-not-in-remission,F1229,icd_diagnoses,included
celiac-disease-two-year,K900,icd_diagnoses,included
cerebral-palsy,G80%,icd_diagnoses,included
cerebral-palsy-two-year,G80%,icd_diagnoses,included
cerebrovascular-disease,I6%,icd_diagnoses,included
check-a-1-c,has-diabetes,condition_slugs,included
check-a-1-c,a-1-c-proc,condition_slugs,included
check-a-1-c,a-1-c-lab,test_slugs,included
chemotherapy,J9%,procedure_codes,included
chemotherapy,Z5111,icd_diagnoses,included
chronic-lung-disease-two-year,P27%,icd_diagnoses,included
chronic-pancreatitis-hcc-two-year,34,hccs,included
ckd,ckd-stage-3,condition_slugs,included
ckd,ckd-stage-4,condition_slugs,included
ckd-stage-3,N183%,icd_diagnoses,included
ckd-stage-4,N184%,icd_diagnoses,included
ckd-stage-5,N185%,icd_diagnoses,included
ckd-esrd-assessment,ckd-assessment,condition_slugs,included
ckd-esrd-assessment,esrd-assessment,condition_slugs,included
ckd-esrd-hcc-two-year,134,hccs,included
ckd-esrd-hcc-two-year,136,hccs,included
ckd-esrd-hcc-two-year,137,hccs,included
ckd-esrd-hcc-two-year,138,hccs,included
cocaine-dependence-not-in-remission,F1420,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1422,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1423,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1424,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1425,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1426,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1427,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1428,icd_diagnoses,included
cocaine-dependence-not-in-remission,F1429,icd_diagnoses,included
complex-care-management,complex-care-management-one-required,condition_slugs,included
complex-care-management,complex-care-management-two-required,condition_slugs,included
complex-care-management,age-21-or-older,condition_slugs,included
complex-care-management-one-required,age-85-or-older,condition_slugs,included
complex-care-management-one-required,ed-visits-three,condition_slugs,included
complex-care-management-one-required,ip-bh-admits-two,condition_slugs,included
complex-care-management-one-required,paid-amount-eighteen-thousand-medical,condition_slugs,included
complex-care-management-one-required,polypharmacy-chronic,condition_slugs,included
complex-care-management-one-required,spinal-cord-disorders-hcc-two-years,condition_slugs,included
complex-care-management-one-required,unstable-housing-assessment-one-year,condition_slugs,included
complex-care-management-one-required,comprehensive-assessment-ccm,condition_slugs,included
complex-care-management-pediatric,age-20-or-younger,condition_slugs,included
complex-care-management-pediatric,pediatric-ccm-one-clinical-one-encounter-or-two-encounter-condition-or-assessment,condition_slugs,included
complex-care-management-two-required,hiv-aids-hcc-two-year,condition_slugs,included
complex-care-management-two-required,dementia-w-comp-hcc-two-year,condition_slugs,included
complex-care-management-two-required,parkinsons-or-huntingtons-hcc-two-year,condition_slugs,included
complex-care-management-two-required,end-stage-liver-disease-cirrhosis-hcc-two-year,condition_slugs,included
complex-care-management-two-required,stroke-hcc-two-year,condition_slugs,included
complex-care-management-two-required,asthma-two-year,condition_slugs,included
complex-care-management-two-required,heart-failure,condition_slugs,included
complex-care-management-two-required,coronary-artery-disease,condition_slugs,included
complex-care-management-two-required,ckd-esrd-hcc-two-year,condition_slugs,included
complex-care-management-two-required,copd,condition_slugs,included
complex-care-management-two-required,chronic-pancreatitis-hcc-two-year,condition_slugs,included
complex-care-management-two-required,cystic-fibrosis-hcc-two-year,condition_slugs,included
complex-care-management-two-required,als-cp-muscular-dystrophy-hcc-two-year,condition_slugs,included
complex-care-management-two-required,multiple-sclerosis-hcc-two-year,condition_slugs,included
complex-care-management-two-required,morbid-obesity-hcc-two-year,condition_slugs,included
complex-care-management-two-required,has-diabetes,condition_slugs,included
complex-care-management-two-required,cancer-hcc-two-year,condition_slugs,included
complex-care-management-two-required,vascular-disease-hcc-two-year,condition_slugs,included
complex-care-management-two-required,post-organ-transplant-hcc-two-year,condition_slugs,included
complex-care-management-two-required,pressure-ulcer-stage-three-four-hcc-two-year,condition_slugs,included
complex-care-management-two-required,respiratory-failure-hcc-two-year,condition_slugs,included
complex-care-management-two-required,sickle-cell-disease-two-year,condition_slugs,included
complex-care-management-two-required,severe-head-injury-hcc-two-year,condition_slugs,included
complex-care-management-two-required,schizophrenia-hcc-two-year,condition_slugs,included
complex-care-management-two-required,major-depressive-hcc-two-year,condition_slugs,included
complex-care-management-two-required,substance-abuse-hcc-two-year,condition_slugs,included
complex-home-equipment,T83010A,icd_diagnoses,included
complex-home-equipment,T83010D,icd_diagnoses,included
complex-home-equipment,T83010S,icd_diagnoses,included
complex-home-equipment,T83011A,icd_diagnoses,included
complex-home-equipment,T83011D,icd_diagnoses,included
complex-home-equipment,T83011S,icd_diagnoses,included
complex-home-equipment,T83012A,icd_diagnoses,included
complex-home-equipment,T83012D,icd_diagnoses,included
complex-home-equipment,T83012S,icd_diagnoses,included
complex-home-equipment,T83018A,icd_diagnoses,included
complex-home-equipment,T83018D,icd_diagnoses,included
complex-home-equipment,T83018S,icd_diagnoses,included
complex-home-equipment,T83020A,icd_diagnoses,included
complex-home-equipment,T83020D,icd_diagnoses,included
complex-home-equipment,T83020S,icd_diagnoses,included
complex-home-equipment,T83021A,icd_diagnoses,included
complex-home-equipment,T83021D,icd_diagnoses,included
complex-home-equipment,T83021S,icd_diagnoses,included
complex-home-equipment,T83022A,icd_diagnoses,included
complex-home-equipment,T83022D,icd_diagnoses,included
complex-home-equipment,T83022S,icd_diagnoses,included
complex-home-equipment,T83028A,icd_diagnoses,included
complex-home-equipment,T83028D,icd_diagnoses,included
complex-home-equipment,T83028S,icd_diagnoses,included
complex-home-equipment,T83030A,icd_diagnoses,included
complex-home-equipment,T83030D,icd_diagnoses,included
complex-home-equipment,T83030S,icd_diagnoses,included
complex-home-equipment,T83031A,icd_diagnoses,included
complex-home-equipment,T83031D,icd_diagnoses,included
complex-home-equipment,T83031S,icd_diagnoses,included
complex-home-equipment,T83032A,icd_diagnoses,included
complex-home-equipment,T83032D,icd_diagnoses,included
complex-home-equipment,T83032S,icd_diagnoses,included
complex-home-equipment,T83038A,icd_diagnoses,included
complex-home-equipment,T83038D,icd_diagnoses,included
complex-home-equipment,T83038S,icd_diagnoses,included
complex-home-equipment,T83090A,icd_diagnoses,included
complex-home-equipment,T83090D,icd_diagnoses,included
complex-home-equipment,T83090S,icd_diagnoses,included
complex-home-equipment,T83091A,icd_diagnoses,included
complex-home-equipment,T83091D,icd_diagnoses,included
complex-home-equipment,T83091S,icd_diagnoses,included
complex-home-equipment,T83092A,icd_diagnoses,included
complex-home-equipment,T83092D,icd_diagnoses,included
complex-home-equipment,T83092S,icd_diagnoses,included
complex-home-equipment,T83098A,icd_diagnoses,included
complex-home-equipment,T83098D,icd_diagnoses,included
complex-home-equipment,T83098S,icd_diagnoses,included
complex-home-equipment,T83112A,icd_diagnoses,included
complex-home-equipment,T83112D,icd_diagnoses,included
complex-home-equipment,T83112S,icd_diagnoses,included
complex-home-equipment,T83113A,icd_diagnoses,included
complex-home-equipment,T83113D,icd_diagnoses,included
complex-home-equipment,T83113S,icd_diagnoses,included
complex-home-equipment,T83118A,icd_diagnoses,included
complex-home-equipment,T83118D,icd_diagnoses,included
complex-home-equipment,T83118S,icd_diagnoses,included
complex-home-equipment,T83122A,icd_diagnoses,included
complex-home-equipment,T83122D,icd_diagnoses,included
complex-home-equipment,T83122S,icd_diagnoses,included
complex-home-equipment,T83123A,icd_diagnoses,included
complex-home-equipment,T83123D,icd_diagnoses,included
complex-home-equipment,T83123S,icd_diagnoses,included
complex-home-equipment,T83192A,icd_diagnoses,included
complex-home-equipment,T83192D,icd_diagnoses,included
complex-home-equipment,T83192S,icd_diagnoses,included
complex-home-equipment,T83193A,icd_diagnoses,included
complex-home-equipment,T83193D,icd_diagnoses,included
complex-home-equipment,T83193S,icd_diagnoses,included
complex-home-equipment,T83510A,icd_diagnoses,included
complex-home-equipment,T83510D,icd_diagnoses,included
complex-home-equipment,T83510S,icd_diagnoses,included
complex-home-equipment,T83511A,icd_diagnoses,included
complex-home-equipment,T83511D,icd_diagnoses,included
complex-home-equipment,T83511S,icd_diagnoses,included
complex-home-equipment,T83512A,icd_diagnoses,included
complex-home-equipment,T83512D,icd_diagnoses,included
complex-home-equipment,T83512S,icd_diagnoses,included
complex-home-equipment,T83518A,icd_diagnoses,included
complex-home-equipment,T83518D,icd_diagnoses,included
complex-home-equipment,T83518S,icd_diagnoses,included
complex-home-equipment,T8351XA,icd_diagnoses,included
complex-home-equipment,T8351XD,icd_diagnoses,included
complex-home-equipment,T8351XS,icd_diagnoses,included
complex-home-equipment,T83592D,icd_diagnoses,included
complex-home-equipment,T83592S,icd_diagnoses,included
complex-home-equipment,T83593A,icd_diagnoses,included
complex-home-equipment,T83593D,icd_diagnoses,included
complex-home-equipment,T83593S,icd_diagnoses,included
complex-home-equipment,N99510,icd_diagnoses,included
complex-home-equipment,N99511,icd_diagnoses,included
complex-home-equipment,N99512,icd_diagnoses,included
complex-home-equipment,N99518,icd_diagnoses,included
complex-home-equipment,N99520,icd_diagnoses,included
complex-home-equipment,N99521,icd_diagnoses,included
complex-home-equipment,N99522,icd_diagnoses,included
complex-home-equipment,N99523,icd_diagnoses,included
complex-home-equipment,N99524,icd_diagnoses,included
complex-home-equipment,N99528,icd_diagnoses,included
complex-home-equipment,N99530,icd_diagnoses,included
complex-home-equipment,N99531,icd_diagnoses,included
complex-home-equipment,N99532,icd_diagnoses,included
complex-home-equipment,N99533,icd_diagnoses,included
complex-home-equipment,N99534,icd_diagnoses,included
complex-home-equipment,N99538,icd_diagnoses,included
complex-home-equipment,K9400,icd_diagnoses,included
complex-home-equipment,K9401,icd_diagnoses,included
complex-home-equipment,K9402,icd_diagnoses,included
complex-home-equipment,K9409,icd_diagnoses,included
complex-home-equipment,K9410,icd_diagnoses,included
complex-home-equipment,K9411,icd_diagnoses,included
complex-home-equipment,K9412,icd_diagnoses,included
complex-home-equipment,K9419,icd_diagnoses,included
complex-home-equipment,J9500,icd_diagnoses,included
complex-home-equipment,J9501,icd_diagnoses,included
complex-home-equipment,J9502,icd_diagnoses,included
complex-home-equipment,J9503,icd_diagnoses,included
complex-home-equipment,J9504,icd_diagnoses,included
complex-home-equipment,J9509,icd_diagnoses,included
complex-home-equipment,K9403,icd_diagnoses,included
complex-home-equipment,K9413,icd_diagnoses,included
complex-home-equipment,K9420,icd_diagnoses,included
complex-home-equipment,K9421,icd_diagnoses,included
complex-home-equipment,K9422,icd_diagnoses,included
complex-home-equipment,K9423,icd_diagnoses,included
complex-home-equipment,K9429,icd_diagnoses,included
complex-home-equipment,K9430,icd_diagnoses,included
complex-home-equipment,K9431,icd_diagnoses,included
complex-home-equipment,K9432,icd_diagnoses,included
complex-home-equipment,K9433,icd_diagnoses,included
complex-home-equipment,K9439,icd_diagnoses,included
complex-home-equipment,Z9350,icd_diagnoses,included
complex-home-equipment,Z9351,icd_diagnoses,included
complex-home-equipment,Z9352,icd_diagnoses,included
complex-home-equipment,Z9359,icd_diagnoses,included
complex-home-equipment,Z435,icd_diagnoses,included
complex-home-equipment,Z436,icd_diagnoses,included
complex-home-equipment,Z466,icd_diagnoses,included
complex-home-equipment,Z936,icd_diagnoses,included
complex-home-equipment,Z431,icd_diagnoses,included
complex-home-equipment,Z432,icd_diagnoses,included
complex-home-equipment,Z433,icd_diagnoses,included
complex-home-equipment,Z931,icd_diagnoses,included
complex-home-equipment,Z932,icd_diagnoses,included
complex-home-equipment,Z933,icd_diagnoses,included
complex-home-equipment,Z430,icd_diagnoses,included
complex-home-equipment,Z930,icd_diagnoses,included
congenital-malformations-deformations-chromosomal-abnormalities-two-year,Q%,icd_diagnoses,included
congenital-malformations-deformations-chromosomal-abnormalities-two-year,Z877%,icd_diagnoses,included
copd,J40,icd_diagnoses,included
copd,J410,icd_diagnoses,included
copd,J411,icd_diagnoses,included
copd,J418,icd_diagnoses,included
copd,J42,icd_diagnoses,included
copd,J430,icd_diagnoses,included
copd,J431,icd_diagnoses,included
copd,J432,icd_diagnoses,included
copd,J438,icd_diagnoses,included
copd,J439,icd_diagnoses,included
copd,J440,icd_diagnoses,included
copd,J441,icd_diagnoses,included
copd,J449,icd_diagnoses,included
copd,J470,icd_diagnoses,included
copd,J471,icd_diagnoses,included
copd,J479,icd_diagnoses,included
copd-ever,J40%,icd_diagnoses,included
copd-ever,J410%,icd_diagnoses,included
copd-ever,J411%,icd_diagnoses,included
copd-ever,J418%,icd_diagnoses,included
copd-ever,J42%,icd_diagnoses,included
copd-ever,J430%,icd_diagnoses,included
copd-ever,J431%,icd_diagnoses,included
copd-ever,J432%,icd_diagnoses,included
copd-ever,J438%,icd_diagnoses,included
copd-ever,J439%,icd_diagnoses,included
copd-ever,J440%,icd_diagnoses,included
copd-ever,J441%,icd_diagnoses,included
copd-ever,J449%,icd_diagnoses,included
copd-ever,J470%,icd_diagnoses,included
copd-ever,J471%,icd_diagnoses,included
copd-ever,J479%,icd_diagnoses,included
coronary-artery-disease,I20%,icd_diagnoses,included
coronary-artery-disease,I23%,icd_diagnoses,included
coronary-artery-disease,I24%,icd_diagnoses,included
coronary-artery-disease,I25%,icd_diagnoses,included
coronary-artery-disease-ever,I20%,icd_diagnoses,included
coronary-artery-disease-ever,I23%,icd_diagnoses,included
coronary-artery-disease-ever,I24%,icd_diagnoses,included
coronary-artery-disease-ever,I25%,icd_diagnoses,included
current-alcohol-abuse,F10%,icd_diagnoses,included
current-alcohol-abuse,G621,icd_diagnoses,included
current-alcohol-abuse,I426,icd_diagnoses,included
current-alcohol-abuse,K2920,icd_diagnoses,included
current-alcohol-abuse,K2921,icd_diagnoses,included
current-alcohol-abuse,K70%,icd_diagnoses,included
current-alcohol-abuse,T510X1A,icd_diagnoses,included
current-alcohol-abuse,T510X2A,icd_diagnoses,included
current-alcohol-abuse,T510X3A,icd_diagnoses,included
current-alcohol-abuse,T510X4A,icd_diagnoses,included
current-alcohol-abuse,Z7141,icd_diagnoses,included
current-alcohol-abuse,Z7151,icd_diagnoses,included
current-alcohol-abuse,197321007,snomed_codes,excluded
current-alcohol-abuse,7339009,snomed_codes,excluded
current-alcohol-abuse,28670008,snomed_codes,excluded
current-alcohol-abuse,32553006,snomed_codes,excluded
current-alcohol-abuse,45912004,snomed_codes,excluded
current-alcohol-abuse,82581004,snomed_codes,excluded
current-alcohol-abuse,191813001,snomed_codes,excluded
current-alcohol-abuse,191884001,snomed_codes,excluded
current-alcohol-abuse,HZ2ZZZZ,procedure_codes,included
current-alcohol-abuse,HZ30ZZZ,procedure_codes,included
current-alcohol-abuse,HZ31ZZZ,procedure_codes,included
current-alcohol-abuse,HZ32ZZZ,procedure_codes,included
current-alcohol-abuse,HZ33ZZZ,procedure_codes,included
current-alcohol-abuse,HZ34ZZZ,procedure_codes,included
current-alcohol-abuse,HZ35ZZZ,procedure_codes,included
current-alcohol-abuse,HZ36ZZZ,procedure_codes,included
current-alcohol-abuse,HZ37ZZZ,procedure_codes,included
current-alcohol-abuse,HZ38ZZZ,procedure_codes,included
current-alcohol-abuse,HZ39ZZZ,procedure_codes,included
current-alcohol-abuse,HZ3BZZZ,procedure_codes,included
current-alcohol-abuse,HZ40ZZZ,procedure_codes,included
current-alcohol-abuse,HZ93ZZZ,procedure_codes,included
current-alcohol-abuse,HZ96ZZZ,procedure_codes,included
current-alcohol-abuse,F1021,icd_diagnoses,excluded
current-opioid-abuse,F111%,icd_diagnoses,included
current-opioid-abuse,F112%,icd_diagnoses,included
current-opioid-abuse,T400X1A,icd_diagnoses,included
current-opioid-abuse,T400X2A,icd_diagnoses,included
current-opioid-abuse,T400X3A,icd_diagnoses,included
current-opioid-abuse,T400X4A,icd_diagnoses,included
current-opioid-abuse,T401X1A,icd_diagnoses,included
current-opioid-abuse,T401X2A,icd_diagnoses,included
current-opioid-abuse,T401X3A,icd_diagnoses,included
current-opioid-abuse,T401X4A,icd_diagnoses,included
current-opioid-abuse,T403X1A,icd_diagnoses,included
current-opioid-abuse,T403X2A,icd_diagnoses,included
current-opioid-abuse,T403X3A,icd_diagnoses,included
current-opioid-abuse,T403X4A,icd_diagnoses,included
current-opioid-abuse,T402X1A,icd_diagnoses,included
current-opioid-abuse,T402X2A,icd_diagnoses,included
current-opioid-abuse,T402X3A,icd_diagnoses,included
current-opioid-abuse,T402X4A,icd_diagnoses,included
current-opioid-abuse,T404X1A,icd_diagnoses,included
current-opioid-abuse,T404X2A,icd_diagnoses,included
current-opioid-abuse,T404X3A,icd_diagnoses,included
current-opioid-abuse,T404X4A,icd_diagnoses,included
current-opioid-abuse,T40601A,icd_diagnoses,included
current-opioid-abuse,T40602A,icd_diagnoses,included
current-opioid-abuse,T40603A,icd_diagnoses,included
current-opioid-abuse,T40604A,icd_diagnoses,included
current-opioid-abuse,T40691A,icd_diagnoses,included
current-opioid-abuse,T40692A,icd_diagnoses,included
current-opioid-abuse,T40693A,icd_diagnoses,included
current-opioid-abuse,T40694A,icd_diagnoses,included
current-opioid-abuse,T403X5A,icd_diagnoses,included
current-opioid-abuse,F1111,icd_diagnoses,excluded
current-opioid-abuse,F1121,icd_diagnoses,excluded
current-opioid-abuse,191821007,snomed_codes,excluded
current-other-substance-abuse,F12%,icd_diagnoses,included
current-other-substance-abuse,F13%,icd_diagnoses,included
current-other-substance-abuse,F14%,icd_diagnoses,included
current-other-substance-abuse,F15%,icd_diagnoses,included
current-other-substance-abuse,F16%,icd_diagnoses,included
current-other-substance-abuse,F18%,icd_diagnoses,included
current-other-substance-abuse,F19%,icd_diagnoses,included
current-other-substance-abuse,F550,icd_diagnoses,included
current-other-substance-abuse,F553,icd_diagnoses,included
current-other-substance-abuse,O355%,icd_diagnoses,included
current-other-substance-abuse,T40691A,icd_diagnoses,included
current-other-substance-abuse,T40692A,icd_diagnoses,included
current-other-substance-abuse,T40693A,icd_diagnoses,included
current-other-substance-abuse,T40694A,icd_diagnoses,included
current-other-substance-abuse,O99320,icd_diagnoses,included
current-other-substance-abuse,O99321,icd_diagnoses,included
current-other-substance-abuse,O99322,icd_diagnoses,included
current-other-substance-abuse,O99323,icd_diagnoses,included
current-other-substance-abuse,O99324,icd_diagnoses,included
